,lon,lat,ele,sun,hum,pre,rai,N,cod
826,73.0677777778,-6.99333333333,1000,0,0,11,3,2,23190700
827,73.7244444444,-8.01166666667,50,0,0,5,1,2,23190710
828,73.3213888889,-7.8125,650,0,0,3,3,2,23190810
829,73.1222222222,-7.14472222222,1018,3,1,11,6,4,23195040
830,72.9875,-7.36583333333,1725,5,1,6,6,4,23195090
831,73.1672222222,-7.02555555556,777,0,2,2,6,3,23195110
832,73.1844444444,-7.12138888889,1189,5,1,2,6,4,23195130
833,73.0516666667,-7.73527777778,1882,5,1,7,3,4,23195180
834,72.9911111111,-7.47388888889,1850,5,1,7,6,4,23195200
835,73.9505555556,-7.96027777778,99,0,0,5,1,2,23200010
836,73.9419444444,-7.67055555556,98,0,0,3,1,2,23200060
837,73.9255555556,-7.475,165,0,2,3,6,3,23205020
838,74.0591666667,-7.96527777778,650,4,2,5,1,4,23205030
839,74.2408333333,-7.88527777778,750,5,1,3,3,4,23205050
840,73.7552777778,-8.185,90,0,0,5,1,2,23210010
841,73.6413888889,-8.53166666667,166,0,0,3,1,2,23210120
842,73.58,-8.24944444444,250,0,0,5,1,2,23210130
843,73.7377777778,-8.32666666667,150,0,0,5,1,2,23210160
844,73.6027777778,-8.22888888889,208,4,2,5,1,4,23215030
845,73.4166666667,-6.25,1390,0,0,10,0,1,24010050
846,73.7097222222,-5.30305555556,2650,0,0,2,6,2,24010070
847,73.4691666667,-6.07694444444,1242,0,0,3,3,2,24010110
848,73.7705555556,-5.25083333333,2620,0,0,2,6,2,24010140
849,73.8636111111,-5.51111111111,2590,0,0,2,3,2,24010150
850,73.6908333333,-5.38583333333,2690,0,0,2,6,2,24010170
851,73.6311111111,-5.53861111111,2290,0,0,11,4,2,24010180
852,73.7816666667,-5.87333333333,1920,0,0,3,3,2,24010210
853,73.2397222222,-6.35527777778,1523,0,0,3,3,2,24010230
854,73.3033333333,-6.2625,1400,0,0,3,3,2,24010240
855,73.7166666667,-5.3,2585,0,0,2,6,2,24010280
856,73.6166666667,-5.61666666667,2090,0,0,2,4,2,24010290
857,73.6166666667,-5.3,2800,0,0,11,5,2,24010390
858,73.5438888889,-5.60138888889,2120,0,0,2,4,2,24010410
859,73.85,-5.38333333333,3130,0,0,2,6,2,24010440
860,73.6,-5.71666666667,2370,0,0,11,4,2,24010460
861,73.6666666667,-5.46666666667,2900,0,0,11,2,2,24010510
862,73.9044444444,-5.35111111111,2970,0,0,2,6,2,24010610
863,73.4438888889,-5.76055555556,2600,0,0,11,3,2,24010630
864,73.7708333333,-5.98611111111,2260,0,0,3,3,2,24010640
865,73.3416666667,-6.15138888889,1502,0,0,3,3,2,24010650
866,73.3338888889,-6.44361111111,1050,0,0,3,3,2,24010660
867,73.7963888889,-5.91972222222,2270,0,0,3,3,2,24010670
868,73.6333333333,-5.71666666667,2600,0,0,11,3,2,24010690
869,73.7588888889,-5.69611111111,2550,0,0,11,3,2,24010700
870,73.5763888889,-5.85138888889,1764,0,0,7,3,2,24010710
871,73.3666666667,-6.36666666667,1200,0,0,3,3,2,24010740
872,73.6091666667,-5.92583333333,1730,0,0,7,3,2,24010750
873,73.4413888889,-6.1025,1617,0,0,3,3,2,24010760
874,73.3833333333,-6.08333333333,2000,0,0,3,3,2,24010790
875,73.5333333333,-5.48333333333,2800,0,0,2,5,2,24010800
876,73.5494444444,-5.75083333333,2375,0,0,11,3,2,24010810
877,73.7025,-5.96138888889,2018,0,0,6,3,2,24010820
878,73.4502777778,-5.64,2985,0,0,2,6,2,24010830
879,73.3855555556,-5.63444444444,3195,0,0,2,6,2,24010840
880,73.3888888889,-5.87083333333,2110,0,0,6,3,2,24010850
881,73.4166666667,-5.81666666667,2300,0,0,6,3,2,24010860
882,73.1961111111,-5.89944444444,2200,0,0,11,3,2,24010870
883,73.8013888889,-5.46222222222,2600,0,0,2,4,2,24011060
884,73.4672222222,-6.32361111111,1800,0,0,10,3,2,24011070
885,73.7525,-5.24777777778,2562,0,0,2,6,2,24011080
886,73.7913888889,-5.32722222222,2555,0,0,2,6,2,24011090
887,73.6,-5.88333333333,1700,5,2,7,3,4,24015020
888,73.6022222222,-5.71055555556,2300,0,2,2,3,3,24015090
889,73.8516666667,-5.30361111111,2610,0,0,2,6,2,24015110
890,73.7347222222,-5.46722222222,2580,5,1,11,3,4,24015120
891,73.85,-5.5,2572,0,0,2,4,2,24015130
892,73.85,-5.25,2700,0,0,2,6,2,24015210
893,73.4955555556,-5.51166666667,2600,5,1,2,6,4,24015220
894,73.4152777778,-6.23694444444,1400,0,1,3,3,3,24015250
895,73.3683333333,-6.355,1090,0,2,3,3,3,24015260
896,73.6727777778,-5.99722222222,2170,5,1,7,3,4,24015270
897,73.3436111111,-5.94472222222,1900,0,1,6,3,3,24015280
898,73.5438888889,-5.65583333333,2215,5,2,2,4,4,24015300
899,73.0980555556,-6.13833333333,1814,0,0,6,3,2,24020040
900,73.1427777778,-6.44111111111,1300,0,0,3,3,2,24020080
901,73.0447222222,-6.29944444444,1520,0,0,6,3,2,24020120
902,73.0561111111,-6.60166666667,1626,0,0,5,6,2,24020130
903,73.1061111111,-6.57666666667,1100,0,0,5,6,2,24020150
904,72.9644444444,-6.1525,2625,0,0,6,3,2,24020220
905,72.9833333333,-6.25,2000,0,0,11,3,2,24020230
906,73.1991666667,-6.53222222222,975,1,2,7,3,4,24025020
907,73.1619444444,-5.96694444444,2700,2,1,6,3,4,24025030
908,72.9688888889,-6.47,1667,5,1,3,3,4,24025040
909,73.1505555556,-6.27416666667,1350,5,1,3,3,4,24025050
910,73.0763888889,-5.52361111111,2678,0,0,2,6,2,24030120
911,73.2502777778,-5.50722222222,2720,0,0,2,6,2,24030140
912,72.7833333333,-5.9075,2486,0,0,2,6,2,24030160
913,72.8497222222,-5.72444444444,2970,0,0,2,6,2,24030190
